Checking model setup.....Please wait                                                                                                                                                                                                                            
Initializing.....Please wait                                                                                                                                                                                                                                    
Finished model setup.....                                                                                                                                                                                                                                       
Cycle:        0, Time:  0.000E+00s, Progress:   0.00%, Time Inc.: 2.628E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: -         
Cycle:       19, Time:  9.050E-07s, Progress:   0.08%, Time Inc.: 5.256E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 4s        
Cycle:       20, Time:  9.576E-07s, Progress:   0.08%, Time Inc.: 5.256E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 4s        
Cycle:       21, Time:  1.010E-06s, Progress:   0.09%, Time Inc.: 5.256E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 4s        
Cycle:       22, Time:  1.063E-06s, Progress:   0.09%, Time Inc.: 5.256E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 4s        
Cycle:       23, Time:  1.115E-06s, Progress:   0.10%, Time Inc.: 5.256E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 5s        
Cycle:       24, Time:  1.168E-06s, Progress:   0.10%, Time Inc.: 5.256E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 4s        
Cycle:       25, Time:  1.220E-06s, Progress:   0.11%, Time Inc.: 5.256E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 4s        
Cycle:       26, Time:  1.273E-06s, Progress:   0.11%, Time Inc.: 5.256E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 4s        
Cycle:       27, Time:  1.326E-06s, Progress:   0.12%, Time Inc.: 5.256E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 4s        
Cycle:       28, Time:  1.378E-06s, Progress:   0.12%, Time Inc.: 5.256E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 4s        
Cycle:       29, Time:  1.431E-06s, Progress:   0.13%, Time Inc.: 5.256E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 4s        
Cycle:       30, Time:  1.483E-06s, Progress:   0.13%, Time Inc.: 5.256E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 4s        
Cycle:       31, Time:  1.536E-06s, Progress:   0.14%, Time Inc.: 5.256E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 4s        
Cycle:       32, Time:  1.588E-06s, Progress:   0.14%, Time Inc.: 5.256E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 4s        
Cycle:       33, Time:  1.641E-06s, Progress:   0.15%, Time Inc.: 5.256E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 4s        
Cycle:       34, Time:  1.694E-06s, Progress:   0.15%, Time Inc.: 5.256E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 3s        
Cycle:       35, Time:  1.746E-06s, Progress:   0.15%, Time Inc.: 5.256E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 4s        
Cycle:       36, Time:  1.799E-06s, Progress:   0.16%, Time Inc.: 5.256E-08s @ element       8 in Part SYS\Surface Est. Clock Time Remaining: 4s        
